Olmec's Sanctum,オルメカの聖所
Colonnade,列柱広場
Alleyways,路地
Scriptorium,写字室
Bone Crypt,遺骨安置所
Pillars of Arun,アルンの柱
Dry Sea,干上がった海
Dunes,砂丘
Belfry,鐘楼
Precinct,貧民街
Stagnation,淀み
Excavation,採掘場
Silo,サイロ
Grotto,洞窟
Whakawairua Tuahu,ファカワイルア・トゥアーフ
Acton's Nightmare,アクトンの悪夢
Primordial Pool,原初の水溜まり
Primordial Blocks,原初の建築群
Infested Valley,害虫の谷
Lair,根城
Fields,原野
Strand,岸辺
Shrine,神殿
Overgrown Shrine,根に覆われた神殿
Vaults of Atziri,アトジリの宝物庫
Hallowed Ground,聖地
The Twilight Temple,黄昏の寺院
Orchard,果樹園
Lighthouse,灯台
Cemetery,墓地
Port,港湾
Vaal Pyramid,ヴァールピラミッド
Moon Temple,月の寺院
Laboratory,研究所
Tower,塔
Maelström of Chaos,混沌の渦
The Vinktar Square,ヴィンクターの広場
Marshes,沼地
Arcade,拱廊
City Square,街の広場
Courtyard,中庭
Atoll,環礁
Plateau,高原
Mineral Pools,鉱泉
Residence,邸宅
Mao Kun,マオ・クン
Pit,闘拳場
Promenade,遊歩道
Shore,岸
Castle Ruins,城跡
Toxic Sewer,有毒な下水道
Phantasmagoria,ファンタズマゴリア
Waste Pool,汚水槽
The Coward's Trial,臆病者の試練
Sulphur Vents,硫黄噴出孔
Canyon,峡谷
Forbidden Woods,禁じられた森
Coral Ruins,珊瑚の遺跡
Cursed Crypt,呪われた地下聖堂
Relic Chambers,遺物保管室
Chateau,シャトー
Caldera,カルデラ
Shipyard,造船所
Armoury,武器庫
Arachnid Tomb,アラクニッドの墓
Flooded Mine,水没鉱山
Crimson Temple,深紅の寺院
Crystal Ore,水晶鉱山
Wasteland,荒野
Pier,桟橋
Ramparts,城壁
Cold River,凍てついた川
Siege,包囲された街
Synthesised,シンセシス
Overgrown Ruin,根に覆われた遺跡
Plaza,広場
Arachnid Nest,アラクニドの巣
Factory,工場
Foundry,鋳造工場
Cells,監房
Underground Sea,地底海
Beach,砂浜
Frozen Cabins,凍結した船室
Geode,晶洞
Crimson Township,深紅の町
Fungal Hollow,真菌の空洞
Malformation,奇形の体内
The Putrid Cloister,邪悪な学園
Death and Taxes,死と税金
Desert Spring,砂漠の泉
Jungle Valley,ジャングルバレー
Wharf,埠頭
Necropolis,死者の都
Conservatory,温室
Museum,博物館
Arid Lake,枯れた湖
Crater,火口
Thicket,密林
Leyline,レイライン
Defiled Cathedral,冒涜された大聖堂
Doryani's Machinarium,ドリヤニのマシナリウム
Poorjoy's Asylum,プアジョイの収容所
Terrace,テラス
Barrows,古墳
Dungeon,地下牢
Maze,迷路
Temple,寺院
"Caer Blaidd, Wolfpack's Den",カーイルブライズ・群狼の巣
Racecourse,競走路
Colosseum,コロシアム
Tropical Island,熱帯の島
Underground River,地下河川
Core,コア
Dig,発掘現場
Volcano,火山
Arsenal,兵器庫
Pit of the Chimera,キメラの闘拳場
Coves,入り江
Lair of the Hydra,ヒュドラの巣
Maze of the Minotaur,ミノタウロスの迷宮
Vaal Temple,ヴァールテンプル
Forge of the Phoenix,フェニックスの鍛冶場